,日期,省,省确诊,省治愈,省死亡,市,确诊,治愈,死亡
0,2020-02-18,河南省,1257,514,19,焦作,32,7,1
0,2020-02-18,河南省,1257,514,19,漯河,34,13,0
0,2020-02-18,河南省,1257,514,19,洛阳,31,11,0
0,2020-02-18,河南省,1257,514,19,开封,26,9,0
0,2020-02-18,河南省,1257,514,19,鹤壁,19,5,0
0,2020-02-18,河南省,1257,514,19,濮阳,17,4,0
0,2020-02-18,河南省,1257,514,19,济源,5,0,0
0,2020-02-18,河南省,1257,514,19,三门峡,7,4,0
0,2020-02-18,河南省,1257,514,19,待明确地区,0,0,8
0,2020-02-18,天津市,127,46,3,宝坻区,52,12,2
0,2020-02-18,天津市,127,46,3,河东区,15,7,1
0,2020-02-18,天津市,127,46,3,河北区,12,7,0
0,2020-02-18,天津市,127,46,3,北辰区,6,1,0
0,2020-02-18,天津市,127,46,3,南开区,6,1,0
0,2020-02-18,天津市,127,46,3,宁河区,4,0,0
0,2020-02-18,天津市,127,46,3,外地来津人员,6,3,0
0,2020-02-18,天津市,127,46,3,东丽区,4,1,0
0,2020-02-18,天津市,127,46,3,和平区,6,4,0
0,2020-02-18,天津市,127,46,3,河西区,4,2,0
0,2020-02-18,天津市,127,46,3,滨海新区,3,1,0
0,2020-02-18,天津市,127,46,3,西青区,4,3,0
0,2020-02-18,天津市,127,46,3,武清区,2,1,0
0,2020-02-18,天津市,127,46,3,红桥区,2,2,0
0,2020-02-18,天津市,127,46,3,津南区,1,1,0
0,2020-02-18,北京市,387,122,4,海淀区,60,0,0
0,2020-02-18,北京市,387,122,4,朝阳区,58,0,0
0,2020-02-18,北京市,387,122,4,西城区,47,0,0
0,2020-02-18,北京市,387,122,4,丰台区,40,3,0
0,2020-02-18,北京市,387,122,4,大兴区,39,2,0
0,2020-02-18,北京市,387,122,4,昌平区,29,0,0
0,2020-02-18,北京市,387,122,4,外地来京人员,26,2,0
0,2020-02-18,北京市,387,122,4,通州区,18,1,0
0,2020-02-18,北京市,387,122,4,房山区,16,3,0
0,2020-02-18,北京市,387,122,4,石景山区,14,1,0
0,2020-02-18,北京市,387,122,4,东城区,12,1,0
0,2020-02-18,北京市,387,122,4,顺义区,10,0,0
0,2020-02-18,北京市,387,122,4,怀柔区,7,0,0
0,2020-02-18,北京市,387,122,4,密云区,7,0,0
0,2020-02-18,北京市,387,122,4,门头沟区,3,0,0
0,2020-02-18,北京市,387,122,4,延庆区,1,0,0
0,2020-02-18,北京市,387,122,4,待明确地区,0,109,4
0,2020-02-18,内蒙古自治区,73,8,0,包头,11,0,0
0,2020-02-18,内蒙古自治区,73,8,0,鄂尔多斯,11,3,0
0,2020-02-18,内蒙古自治区,73,8,0,巴彦淖尔,8,0,0
0,2020-02-18,内蒙古自治区,73,8,0,赤峰,9,2,0
0,2020-02-18,内蒙古自治区,73,8,0,锡林郭勒盟,8,1,0
0,2020-02-18,内蒙古自治区,73,8,0,呼和浩特,7,0,0
0,2020-02-18,内蒙古自治区,73,8,0,通辽,7,0,0
0,2020-02-18,内蒙古自治区,73,8,0,呼伦贝尔,6,1,0
0,2020-02-18,内蒙古自治区,73,8,0,乌兰察布,3,1,0
0,2020-02-18,内蒙古自治区,73,8,0,乌海市,2,0,0
0,2020-02-18,内蒙古自治区,73,8,0,兴安盟,1,0,0
0,2020-02-18,江西省,933,310,1,南昌,229,95,0
0,2020-02-18,江西省,933,310,1,九江,118,30,0
0,2020-02-18,江西省,933,310,1,上饶,123,39,0
0,2020-02-18,江西省,933,310,1,新余,129,46,0
