,日期,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡
161,2020-02-18,山东省,543,195,2,济南,0,0,0,47,13,0
162,2020-02-18,山东省,543,195,2,烟台,0,0,0,47,13,0
163,2020-02-18,山东省,543,195,2,潍坊,0,1,0,44,11,0
164,2020-02-18,山东省,543,195,2,青岛,1,0,0,58,26,1
165,2020-02-18,山东省,543,195,2,济宁,0,2,0,52,22,0
166,2020-02-18,山东省,543,195,2,威海,0,0,0,38,9,0
167,2020-02-18,山东省,543,195,2,德州,0,0,0,37,9,1
168,2020-02-18,山东省,543,195,2,聊城,0,0,0,38,12,0
169,2020-02-18,山东省,543,195,2,泰安,0,0,0,32,6,0
170,2020-02-18,山东省,543,195,2,淄博,0,0,0,29,5,0
171,2020-02-18,山东省,543,195,2,枣庄,0,0,0,24,7,0
172,2020-02-18,山东省,543,195,2,临沂,1,0,0,48,35,0
173,2020-02-18,山东省,543,195,2,日照,0,1,0,16,4,0
174,2020-02-18,山东省,543,195,2,菏泽,0,0,0,18,13,0
175,2020-02-18,山东省,543,195,2,滨州,0,0,0,15,10,0
176,2020-02-18,辽宁省,121,45,1,大连,0,0,0,19,5,0
177,2020-02-18,辽宁省,121,45,1,葫芦岛,0,0,0,12,0,1
178,2020-02-18,辽宁省,121,45,1,盘锦,0,0,0,11,0,0
179,2020-02-18,辽宁省,121,45,1,沈阳,0,0,0,28,19,0
180,2020-02-18,辽宁省,121,45,1,阜新,0,0,0,8,0,0
181,2020-02-18,辽宁省,121,45,1,铁岭,0,0,0,7,1,0
182,2020-02-18,辽宁省,121,45,1,锦州,0,0,0,12,7,0
183,2020-02-18,辽宁省,121,45,1,鞍山,0,0,0,4,0,0
184,2020-02-18,辽宁省,121,45,1,丹东,0,0,0,7,4,0
185,2020-02-18,辽宁省,121,45,1,朝阳,0,0,0,6,3,0
186,2020-02-18,辽宁省,121,45,1,辽阳,0,0,0,3,2,0
187,2020-02-18,辽宁省,121,45,1,本溪,0,2,0,3,3,0
188,2020-02-18,辽宁省,121,45,1,营口,0,0,0,1,1,0
189,2020-02-18,青海省,18,14,0,西宁,0,0,0,15,12,0
